time	Channel1	Channel2
-0.0009718	0.24	-0.0032
-0.0009716	0.2392	-0.002133333
-0.0009714	0.2416	-0.0016
-0.0009712	0.2418666	-0.0024
-0.0009710000000000001	0.2434666	-0.001066667
-0.0009708000000000001	0.246	-0.001333333
-0.0009706000000000001	0.2470666	-0.002933333
-0.0009704000000000001	0.2486666	-0.0032
-0.0009702000000000001	0.25	-0.0024
-0.00097	0.2502666	-0.002666666
-0.0009698	0.2518666	-0.002133333
-0.0009696	0.2533333	-0.002666666
-0.0009694	0.2554666	-0.002933333
-0.0009692	0.2570666	-0.0016
-0.000969	0.2578667	-0.0024
-0.0009688	0.2589333	-0.002133333
-0.0009686	0.26	-0.0032
-0.0009684	0.2622666	-0.001866666
-0.0009682	0.2633333	-0.001333333
-0.000968	0.2665333	-0.001866666
-0.0009678	0.2652	-0.0024
-0.0009676	0.2670666	-0.001866666
-0.0009674	0.2696	-0.0005333333
-0.0009672	0.2686667	-0.002933333
-0.000967	0.2706666	-0.0007999999
-0.0009668	0.2722666	-0.0024
-0.0009666	0.2746666	-0.001866666
-0.0009664000000000001	0.276	-0.002133333
-0.0009662000000000001	0.2768	-0.0024
-0.0009660000000000001	0.2785333	-0.002666666
-0.0009658000000000001	0.2790667	-0.0024
-0.0009656	0.2825333	-0.001866666
-0.0009654	0.2825333	-0.002666666
-0.0009652	0.2849333	-0.0024
-0.000965	0.2858666	-0.002666666
-0.0009648	0.2869333	-0.0016
-0.0009646	0.2874666	-0.0024
-0.0009644	0.2904	-0.002133333
-0.0009642	0.2909333	-0.0024
-0.000964	0.294	-0.002133333
-0.0009638	0.2953333	-0.001866666
-0.0009636	0.2948	-0.002666666
-0.0009634	0.2972	-0.001333333
-0.0009632	0.2974666	-0.002666666
-0.000963	0.2993333	-0.003733333
-0.0009628	0.3024	-0.002133333
-0.0009626	0.3026666	-0.002933333
-0.0009624	0.304	-0.001333333
-0.0009622000000000001	0.3048	-0.002666666
-0.0009620000000000001	0.3069333	-0.0032
-0.0009618000000000001	0.3088	-0.003466666
-0.0009616000000000001	0.3093333	-0.002133333
-0.0009614000000000001	0.3113333	-0.001866666
-0.0009612	0.3132	-0.002666666
-0.000961	0.3142666	-0.002133333
-0.0009608	0.3148	-0.001866666
-0.0009606	0.3161333	-0.001066667
-0.0009604	0.3184	-0.002133333
-0.0009602	0.3197333	-0.001866666
-0.00096	0.3205333	-0.0016
-0.0009598	0.3224	-0.002666666
-0.0009596	0.3232	-0.001066667
-0.0009594	0.3234666	-0.002933333
-0.0009592	0.3278666	-0.0032
-0.000959	0.3281333	-0.001866666
-0.0009588	0.3286666	-0.0007999999
-0.0009586	0.3310666	-0.001866666
-0.0009584	0.3321333	-0.002933333
-0.0009582	0.3326666	-0.001333333
-0.000958	0.3349333	-0.001866666
-0.0009578	0.3362666	-0.001066667
-0.0009576000000000001	0.3392	-0.001333333
-0.0009574000000000001	0.3394666	-0.002133333
-0.0009572000000000001	0.3416	-0.002133333
-0.0009570000000000001	0.3424	-0.0016
-0.0009568000000000001	0.3430666	-0.002133333
-0.0009566	0.3452	-0.002133333
-0.0009564	0.3465333	-0.002933333
-0.0009562	0.3465333	-0.001866666
-0.000956	0.3489333	-0.002666666
-0.0009558	0.3494666	-0.002133333
-0.0009556	0.3497333	-0.001066667
-0.0009554	0.352	-0.0016
-0.0009552	0.3528	-0.0024
-0.000955	0.3546666	-0.002133333
-0.0009548	0.3568	-0.003466666
-0.0009546	0.3581333	-0.0016
-0.0009544	0.3596	-0.0002666666
-0.0009542	0.3604	-0.001333333
-0.000954	0.3630666	-0.002933333
-0.0009538	0.3633333	-0.0016
-0.0009536	0.3654666	-0.002133333
-0.0009534	0.3665333	-0.0024
-0.0009532	0.3674666	-0.0016
-0.0009530000000000001	0.3690666	-0.0007999999
-0.0009528000000000001	0.3693333	-0.0016
-0.0009526000000000001	0.3717333	-0.0024
-0.0009524000000000001	0.3736	-0.003733333
-0.0009522	0.3756	-0.0016
-0.000952	0.3761333	-0.0024
-0.0009518	0.3777333	-0.002933333
-0.0009516	0.378	-0.0016
-0.0009514	0.3801333	-0.0007999999
-0.0009512	0.3814666	0.0002666666
-0.000951	0.384	-0.001333333
-0.0009508	0.384	-0.0016
-0.0009506	0.3864	-0.002133333
-0.0009504	0.3869333	-0.0024
-0.0009502	0.3898666	-0.001333333
-0.00095	0.3901333	-0.001866666
-0.0009498	0.3901333	-0.003466666
-0.0009496	0.3918666	-0.002933333
-0.0009494	0.3926666	-0.002133333
-0.0009492	0.3947999	-0.001333333
-0.000949	0.3958666	-0.0024
-0.0009488000000000001	0.3988	-0.002933333
-0.0009486000000000001	0.3999999	-0.002666666
-0.0009484000000000001	0.4010666	-0.0016
-0.0009482000000000001	0.4024	-0.001333333
-0.0009480000000000001	0.4034666	-0.0016
-0.0009478	0.4050666	-0.001866666
-0.0009476	0.4066666	-0.002133333
-0.0009474	0.4084	-0.002666666
-0.0009472	0.4094666	-0.001333333
-0.000947	0.4105333	-0.001866666
-0.0009468	0.4116	-0.003733333
-0.0009466	0.4129333	-0.002133333
-0.0009464	0.4153333	-0.0007999999
-0.0009462	0.4168	-0.002133333
-0.000946	0.4175999	-0.003733333
-0.0009458	0.42	-0.0016
-0.0009456	0.4205333	-0.0016
-0.0009454	0.4216	-0.0007999999
-0.0009452	0.4246666	-0.0032
-0.000945	0.4246666	-0.0032
-0.0009448	0.426	-0.002133333
-0.0009446	0.4286666	-0.001866666
-0.0009444	0.4297333	-0.002133333
-0.0009442000000000001	0.4308	-0.0016
-0.0009440000000000001	0.4341333	-0.001866666
-0.0009438000000000001	0.4341333	-0.0024
-0.0009436000000000001	0.4338666	-0.001866666
-0.0009434000000000001	0.4376	-0.001333333
-0.0009432	0.4367999	-0.0032
-0.000943	0.4405333	-0.0024
-0.0009428	0.4422666	-0.0016
-0.0009426	0.4414666	-0.0024
-0.0009424	0.4436	-0.001066667
-0.0009422	0.4441333	-0.002666666
-0.000942	0.4468	-0.0032
-0.0009418	0.4475999	-0.001333333
-0.0009416	0.4475999	-0.0005333333
-0.0009414	0.4504	-0.002133333
-0.0009412	0.4509333	-0.002666666
-0.000941	0.4527999	-0.0032
-0.0009408	0.4552	-0.0024
-0.0009406	0.4552	-0.001333333
-0.0009404	0.4568	-0.001333333
-0.0009402	0.4588	-0.002666666
-0.0009400000000000001	0.4598666	-0.0007999999
-0.0009398	0.462	-0.0016
-0.0009396000000000001	0.4630666	-0.0024
-0.0009394000000000001	0.4636	-0.002933333
-0.0009392000000000001	0.4653333	-0.001333333
-0.0009390000000000001	0.4674666	-0.0016
-0.0009388	0.468	-0.002933333
-0.0009386	0.4712	-0.001066667
-0.0009384	0.4703999	-0.0005333333
-0.0009382	0.4725333	-0.001866666
-0.000938	0.4750666	-0.001333333
-0.0009378	0.4782666	-0.0016
-0.0009376	0.4771999	-0.002933333
-0.0009374	0.4785333	-0.002933333
-0.0009372	0.4806666	-0.0032
-0.000937	0.4806666	-0.001866666
-0.0009368	0.4837333	-0.001866666
-0.0009366	0.4848	-0.002666666
-0.0009364	0.4848	-0.002133333
-0.0009362	0.4861333	-0.0007999999
-0.000936	0.4874666	-0.001866666
-0.0009358	0.4893333	-0.0016
-0.0009356	0.4913333	-0.0005333333
-0.0009354000000000001	0.4926666	-0.0024
-0.0009352	0.4934666	0.0
-0.0009350000000000001	0.4953333	-0.0007999999
-0.0009348000000000001	0.4950666	-0.002133333
-0.0009346000000000001	0.4994666	-0.002133333
-0.0009344	0.4997333	-0.002933333
-0.0009342	0.5002666	-0.002933333
-0.000934	0.5023999	-0.001866666
-0.0009338	0.5034666	-0.0024
-0.0009336	0.5048	-0.0024
-0.0009334	0.5073333	-0.0032
-0.0009332	0.5070666	-0.0016
-0.000933	0.5099999	-0.0005333333
-0.0009328	0.5116	-0.002133333
-0.0009326	0.5118666	-0.003466666
-0.0009324	0.5124	-0.001866666
-0.0009322	0.5154666	-0.001866666
-0.000932	0.5162666	-0.002666666
-0.0009318	0.5181333	-0.004666666
-0.0009316	0.5184	-0.004133333
-0.0009314	0.5215999	-0.001333333
-0.0009312000000000001	0.5213333	-0.0032
-0.000931	0.5218666	-0.0016
-0.0009308000000000001	0.5235999	-0.002933333
-0.0009306000000000001	0.526	-0.0024
-0.0009304000000000001	0.5273333	-0.001333333
-0.0009302000000000001	0.5289333	-0.0007999999
-0.00093	0.5302666	-0.001866666
-0.0009298	0.5306666	-0.0007999999
-0.0009296	0.5322666	-0.0024
-0.0009294	0.5336	-0.0007999999
-0.0009292	0.5357333	-0.001333333
-0.000929	0.536	-0.002133333
-0.0009288	0.5378666	-0.003733333
-0.0009286	0.5398666	-0.002666666
-0.0009284	0.5401333	-0.0005333333
-0.0009282	0.5417333	-0.002133333
-0.000928	0.5430666	-0.0032
-0.0009278	0.5441333	-0.001866666
-0.0009276	0.5459999	-0.001866666
-0.0009274	0.5469333	-0.0016
-0.0009272	0.5493333	-0.001866666
-0.000927	0.5490666	-0.0024
-0.0009268	0.5514666	-0.0024
-0.0009266000000000001	0.5522666	-0.003733333
-0.0009264	0.5538666	-0.002133333
-0.0009262000000000001	0.5555999	-0.001333333
-0.0009260000000000001	0.5574666	-0.002133333
-0.0009258000000000001	0.5598666	-0.002666666
-0.0009256000000000001	0.5612	-0.0024
-0.0009254	0.5606666	-0.001866666
-0.0009252	0.5627999	-0.002933333
-0.000925	0.5648	-0.002133333
-0.0009248	0.5648	-0.002933333
-0.0009246	0.5663999	-0.002133333
-0.0009244	0.5685333	-0.003466666
-0.0009242	0.5703999	-0.0016
-0.000924	0.5698666	-0.0024
-0.0009238	0.5726666	-0.002133333
-0.0009236	0.5734666	-0.001333333
-0.0009234	0.5748	-0.0024
-0.0009232	0.5763999	-0.0032
-0.000923	0.5771999	-0.001333333
-0.0009228	0.5788	-0.0032
-0.0009226	0.5807999	-0.0024
-0.0009224	0.5826666	-0.0024
-0.0009222	0.5837333	-0.0032
-0.0009220000000000001	0.5850666	-0.0032
-0.0009218000000000001	0.5871999	-0.001333333
-0.0009216000000000001	0.5889333	-0.0024
-0.0009214000000000001	0.5897333	-0.0016
-0.0009212000000000001	0.5905333	-0.0024
-0.000921	0.5924	-0.001066667
-0.0009208	0.5929333	-0.002133333
-0.0009206	0.5953333	-0.001333333
-0.0009204	0.596	-0.0016
-0.0009202	0.5983999	-0.002666666
-0.00092	0.5997333	-0.003466666
-0.0009198	0.5997333	-0.001333333
-0.0009196	0.6013333	-0.0016
-0.0009194	0.6029333	-0.002666666
-0.0009192	0.6054666	-0.002133333
-0.000919	0.6065333	-0.0007999999
-0.0009188	0.6057333	-0.0007999999
-0.0009186	0.6078666	-0.0007999999
-0.0009184	0.6097333	-0.0016
-0.0009182	0.6125333	-0.002666666
-0.000918	0.6138666	-0.002666666
-0.0009178000000000001	0.6157333	-0.002666666
-0.0009176	0.6141333	-0.003733333
-0.0009174000000000001	0.6159999	-0.001866666
-0.0009172000000000001	0.6183999	-0.002666666
-0.0009170000000000001	0.6199999	-0.001333333
-0.0009168000000000001	0.6206666	-0.002133333
-0.0009166	0.6238666	-0.003733333
-0.0009164	0.6244	-0.0016
-0.0009162	0.6254666	-0.0016
-0.000916	0.6262666	-0.0005333333
-0.0009158	0.6267999	-0.0024
-0.0009156	0.6301333	-0.002666666
-0.0009154	0.6312	-0.002133333
-0.0009152	0.6325333	-0.002933333
-0.000915	0.6322666	0.0
-0.0009148	0.6359999	-0.0024
-0.0009146	0.6362666	-0.0024
