time	Channel1	Channel2
-0.0009716	0.2368	-0.004933333
-0.0009714	0.2389333	-0.003466666
-0.0009712	0.2408	-0.003466666
-0.0009710000000000001	0.2421333	-0.002933333
-0.0009708000000000001	0.2452	-0.0032
-0.0009706000000000001	0.2470666	-0.0044
-0.0009704000000000001	0.2481333	-0.0032
-0.0009702000000000001	0.2478666	-0.003466666
-0.00097	0.25	-0.001333333
-0.0009698	0.2521333	-0.002666666
-0.0009696	0.2538666	-0.003733333
-0.0009694	0.2546667	-0.002933333
-0.0009692	0.256	-0.002666666
-0.000969	0.2576	-0.0044
-0.0009688	0.2584	-0.0032
-0.0009686	0.2594666	-0.0032
-0.0009684	0.2617333	-0.002133333
-0.0009682	0.262	-0.0032
-0.000968	0.2630666	-0.003466666
-0.0009678	0.2654666	-0.004133333
-0.0009676	0.2665333	-0.002666666
-0.0009674	0.2698666	-0.002133333
-0.0009672	0.2689333	-0.003466666
-0.000967	0.2714666	-0.003466666
-0.0009668	0.2730666	-0.002933333
-0.0009666	0.2733333	-0.002933333
-0.0009664000000000001	0.2757333	-0.003466666
-0.0009662000000000001	0.2777333	-0.0032
-0.0009660000000000001	0.2774666	-0.003733333
-0.0009658000000000001	0.2782666	-0.0032
-0.0009656	0.2801333	-0.002666666
-0.0009654	0.2822666	-0.0032
-0.0009652	0.2830666	-0.003733333
-0.000965	0.2838666	-0.003466666
-0.0009648	0.2854666	-0.001866666
-0.0009646	0.288	-0.003466666
-0.0009644	0.2888	-0.004666666
-0.0009642	0.2914666	-0.003466666
-0.000964	0.2922666	-0.002933333
-0.0009638	0.2928	-0.002933333
-0.0009636	0.2936	-0.002933333
-0.0009634	0.2948	-0.003466666
-0.0009632	0.2964	-0.0044
-0.000963	0.2988	-0.004933333
-0.0009628	0.2996	-0.002933333
-0.0009626	0.3004	-0.002933333
-0.0009624	0.3026666	-0.003733333
-0.0009622000000000001	0.3037333	-0.003733333
-0.0009620000000000001	0.3032	-0.003466666
-0.0009618000000000001	0.3069333	-0.002133333
-0.0009616000000000001	0.3074666	-0.0032
-0.0009614000000000001	0.3096	-0.002666666
-0.0009612	0.3105333	-0.002933333
-0.000961	0.3124	-0.0044
